fold,epoch,train_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,improved,epochs_without_improvement
1,1,0.7967774999492309,0.36621734499931335,0.429132432482675,0.13417351245880127,0.36621734499931335,True,0
1,2,0.5051632470944348,0.5075432658195496,0.6572706822724812,0.4859565198421478,0.36621734499931335,False,1
1,3,0.38303428800667033,0.35015931725502014,0.45832207152951543,0.1557137370109558,0.35015931725502014,True,0
1,4,0.3392365491565536,0.30484819412231445,0.38559304746438133,0.06329652667045593,0.30484819412231445,True,0
1,5,0.33665791877052365,0.3435763418674469,0.40199583251178367,-0.1409311443567276,0.30484819412231445,False,1
1,6,0.30344902351498604,0.31749290227890015,0.3703281737282035,-0.10525398701429367,0.30484819412231445,False,2
1,7,0.3562581326593371,0.39770427346229553,0.4642590764678067,-0.2589101791381836,0.30484819412231445,False,3
1,8,0.38275999751161127,0.5065268278121948,0.6299234066679277,0.4996987581253052,0.30484819412231445,False,4
1,9,0.365842581671827,0.28723666071891785,0.37341963034934084,0.04569263011217117,0.28723666071891785,True,0
1,10,0.2940190904499853,0.285327285528183,0.3946508849399514,0.12721867859363556,0.285327285528183,True,0
1,11,0.28586072847247124,0.2730872333049774,0.3592858203863677,0.0676683709025383,0.2730872333049774,True,0
1,12,0.28889211267232895,0.27610790729522705,0.3708872772835819,0.12300116568803787,0.2730872333049774,False,1
1,13,0.2756215497193968,0.27007395029067993,0.34083749460013346,-0.002152098575606942,0.27007395029067993,True,0
1,14,0.3034145122065264,0.3113039433956146,0.4278921594012408,0.24858790636062622,0.27007395029067993,False,1
1,15,0.2988483851556392,0.2685540020465851,0.36039134067056655,0.11813194304704666,0.2685540020465851,True,0
1,16,0.2894435604924665,0.26835358142852783,0.3425780823728215,0.052567772567272186,0.26835358142852783,True,0
1,17,0.2808263279935893,0.2577197849750519,0.33384070178337066,0.08535817265510559,0.2577197849750519,True,0
1,18,0.2654960589373813,0.3460753858089447,0.43978321817554406,0.283731609582901,0.2577197849750519,False,1
1,19,0.2745030292255037,0.2719855308532715,0.36995435771502344,0.13578177988529205,0.2577197849750519,False,2
1,20,0.27468640291515517,0.24374383687973022,0.3084708464007035,0.06647863984107971,0.24374383687973022,True,0
1,21,0.2635491838788285,0.27452680468559265,0.351026210765382,0.07527473568916321,0.24374383687973022,False,1
1,22,0.24510634953484817,0.24553483724594116,0.32413733275886825,0.12089088559150696,0.24374383687973022,False,2
1,23,0.23923273291438818,0.2780171036720276,0.3598829287337614,0.1984213888645172,0.24374383687973022,False,3
1,24,0.24311190273831873,0.23735935986042023,0.28837595420434814,-0.018654903396964073,0.23735935986042023,True,0
1,25,0.24546114333412228,0.29482385516166687,0.37131981238224926,0.19220834970474243,0.23735935986042023,False,1
1,26,0.2546035789555925,0.3158442974090576,0.3972871855189839,0.25276005268096924,0.23735935986042023,False,2
1,27,0.24094360014971564,0.31486374139785767,0.41413488295207984,0.21222621202468872,0.23735935986042023,False,3
1,28,0.23424755255965626,0.23774883151054382,0.3001760239568818,0.09377018362283707,0.23735935986042023,False,4
1,29,0.23249807384084253,0.3550955355167389,0.4477360679209728,0.31760239601135254,0.23735935986042023,False,5
1,30,0.23700782174573226,0.24821782112121582,0.3145972922472337,0.1113809198141098,0.23735935986042023,False,6
