frame_idx,frame_pct,mae_phys,rmse_phys
0,0.0,0.6479635834693909,0.768779678081994
1,3.225806451612903,0.5850833654403687,0.7093798582608064
2,6.451612903225806,0.6352240443229675,0.7552914321606394
3,9.677419354838708,0.5317007899284363,0.6581402757108984
4,12.903225806451612,0.5108967423439026,0.644196440694167
5,16.129032258064516,0.4919445514678955,0.6285503873345487
6,19.354838709677416,0.45349833369255066,0.5975227206790352
7,22.58064516129032,0.46096622943878174,0.619847324554314
8,25.806451612903224,0.4664515256881714,0.6380967983772916
9,29.032258064516128,0.5275765061378479,0.6915974325742441
10,32.25806451612903,0.5621273517608643,0.7172243262582745
11,35.483870967741936,0.5550523996353149,0.7107136552141053
12,38.70967741935483,0.5521265268325806,0.7026245243374256
13,41.93548387096774,0.45960700511932373,0.6117380248792954
14,45.16129032258064,0.4854395389556885,0.6424055244511105
15,48.387096774193544,0.4816378355026245,0.6370593137269385
16,51.61290322580645,0.4292994737625122,0.5468244256748672
17,54.83870967741935,0.4087115228176117,0.5383791254583888
18,58.064516129032256,0.37975865602493286,0.48974524181288065
19,61.29032258064516,0.2755909562110901,0.3818546690578105
20,64.51612903225806,0.2805284559726715,0.383434024661356
21,67.74193548387096,0.23423632979393005,0.3260885234938511
22,70.96774193548387,0.27556300163269043,0.37663395864477717
23,74.19354838709677,0.2671852111816406,0.3630522960162064
24,77.41935483870967,0.29847437143325806,0.40697738745034984
25,80.64516129032258,0.26283320784568787,0.3774304505568078
26,83.87096774193547,0.2667253017425537,0.37150935942410585
27,87.09677419354838,0.28617775440216064,0.38238470346908954
28,90.32258064516128,0.26120325922966003,0.37072671507692634
29,93.54838709677419,0.27432700991630554,0.35222984130524615
30,96.77419354838709,0.25176018476486206,0.3123488060454706
31,100.0,0.2432679533958435,0.3072110113341683
