video_id,true_phys,final_pred_phys,final_abs_err,ept_pct,ept_found
250617\p20.5_v1000_z5,4.271905,3.8496194,0.42228556,100.0,False
250617\p20_v1000_z5,4.242449,3.8578053,0.38464355,100.0,False
"250624\10,5",3.4389117,3.8693326,0.43042088,100.0,False
250624\10,3.3714285,3.8791494,0.50772095,100.0,False
"250624\14,5",3.889592,3.8555076,0.03408432,0.0,True
250624\6,2.5665,3.8574853,1.2909853,100.0,False
"250627\12,5",3.6810884,3.8967836,0.21569514,100.0,False
"250627\3,5",1.3259183,3.8817592,2.555841,100.0,False
250710\10,3.2816327,3.8747005,0.5930679,100.0,False
250710\12,3.582653,3.8987713,0.31611824,100.0,False
250710\14,3.7477858,3.86833,0.120544195,0.0,True
250710\15,3.8462584,3.8835273,0.037268877,0.0,True
"250710\5,5",2.332517,3.8961377,1.5636208,100.0,False
"250710\7,5",2.8831294,3.8859086,1.0027792,100.0,False
"250715\16,5",4.01034,3.8249009,0.18543935,77.41935483870967,True
"250715\17,5",4.0627213,3.8666775,0.19604373,93.54838709677419,True
250715\17,4.0367346,3.8816953,0.15503931,87.09677419354838,True
