frame_idx,frame_pct,mae_phys,rmse_phys
0,0.0,0.3464908301830292,0.43538652556040003
1,3.225806451612903,0.38235148787498474,0.44072010082651053
2,6.451612903225806,0.3456518054008484,0.4049598123780034
3,9.677419354838708,0.32280272245407104,0.4123176663017103
4,12.903225806451612,0.2941838800907135,0.3713447926298081
5,16.129032258064516,0.28095173835754395,0.3555419762612761
6,19.354838709677416,0.29638534784317017,0.35395732704739535
7,22.58064516129032,0.2215723693370819,0.28858166731824336
8,25.806451612903224,0.2317034900188446,0.28504952301617137
9,29.032258064516128,0.2784280776977539,0.35280496602761313
10,32.25806451612903,0.31717994809150696,0.41390419578978527
11,35.483870967741936,0.2478363960981369,0.3169781261622993
12,38.70967741935483,0.20523174107074738,0.2661536229904112
13,41.93548387096774,0.24948787689208984,0.290528292614325
14,45.16129032258064,0.23992229998111725,0.2955827697366382
15,48.387096774193544,0.2447132170200348,0.2991364577554316
16,51.61290322580645,0.25716516375541687,0.30634175453909784
17,54.83870967741935,0.1896047294139862,0.2730585196744769
18,58.064516129032256,0.2192179560661316,0.2886404874717985
19,61.29032258064516,0.19264228641986847,0.25743215132304104
20,64.51612903225806,0.17849977314472198,0.23246610845661597
21,67.74193548387096,0.19507214426994324,0.24399508906820022
22,70.96774193548387,0.17915989458560944,0.23357384765962988
23,74.19354838709677,0.20897167921066284,0.24298227554649637
24,77.41935483870967,0.2221779227256775,0.2713309204238747
25,80.64516129032258,0.21763822436332703,0.2708460899552123
26,83.87096774193547,0.2670765221118927,0.3328632477230295
27,87.09677419354838,0.2616126239299774,0.3166673430740929
28,90.32258064516128,0.18108999729156494,0.23203948966401486
29,93.54838709677419,0.15697579085826874,0.20524682871567504
30,96.77419354838709,0.16065101325511932,0.2011982243142445
31,100.0,0.1675662398338318,0.2097033850541267
