video_id,true_phys,final_pred_phys,final_abs_err,ept_pct,ept_found
250617\p15_v1000_z4,3.9258504,3.8862057,0.03964472,0.0,True
250617\p18.5_v1000_z5,4.1512856,3.8873658,0.26391983,100.0,False
250617\p19.5_v1000_z5,4.2286396,3.7807796,0.44786,100.0,False
"250624\13,5",3.8166428,3.7994487,0.017194033,0.0,True
250624\13,3.7634287,3.7696226,0.0061938763,0.0,True
250624\7,2.7942858,3.850233,1.0559473,100.0,False
"250624\8,5",3.1462586,3.8257678,0.67950916,100.0,False
250624\8,3.067619,3.83477,0.7671509,100.0,False
"250624\9,5",3.294694,3.8142767,0.51958275,100.0,False
250627\11,3.5440135,3.6509469,0.106933355,67.74193548387096,True
250627\12,3.6480951,3.6430237,0.0050714016,0.0,True
"250627\14,5",3.8734694,3.712889,0.1605804,77.41935483870967,True
250710\6,2.5370715,3.7605703,1.2234988,100.0,False
250710\7,2.7635715,3.8029191,1.0393476,100.0,False
"250715\11,5",3.5382857,3.791846,0.2535603,100.0,False
250715\13,3.6882994,3.731826,0.04352665,0.0,True
"250715\18,5",4.128095,3.7644286,0.36366653,100.0,False
