video_id,true_phys,final_pred_phys,final_abs_err,ept_pct,ept_found
250617\p17_v1000_z5,4.0599318,3.6223536,0.4375782,100.0,False
250624\15,3.9365306,3.6687362,0.26779437,100.0,False
250624\9,3.2013605,3.6454203,0.44405985,100.0,False
250627\11.5,3.5810885,3.662688,0.081599474,0.0,True
250627\7,2.847357,3.6374555,0.7900984,100.0,False
"250627\8,5",3.1257143,3.655914,0.53019977,100.0,False
250627\9,3.2636054,3.657412,0.3938067,100.0,False
"250710\10,5",3.3595238,3.6859033,0.32637954,100.0,False
"250710\13,5",3.7042143,3.711589,0.0073747635,0.0,True
"250710\14,5",3.8123128,3.732465,0.07984781,0.0,True
250710\5,2.1165986,3.6571887,1.54059,100.0,False
"250710\8,5",3.0493197,3.6890583,0.63973856,100.0,False
250710\9,3.1570067,3.6627002,0.50569344,100.0,False
250715\14,3.7940135,3.7316787,0.062334776,0.0,True
"250715\15,5",3.9396598,3.6441643,0.2954955,100.0,False
250715\15,3.87034,3.6876464,0.18269372,87.09677419354838,True
250715\18,4.119116,3.6878736,0.43124223,100.0,False
"250715\19,5",4.188095,3.70692,0.48117518,100.0,False
