fold,epoch,train_loss,val_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,improved,epochs_without_improvement
1,1,0.358260518487762,0.2948643535375595,0.4412159323692322,0.5223178275360317,-0.03559557721018791,0.4412159323692322,True,0
1,2,0.3518679992241018,0.2880389839410782,0.43721577525138855,0.5210718816603772,0.00019012557459063828,0.43721577525138855,True,0
1,3,0.3494847241569968,0.2848331302404404,0.4345340132713318,0.5215984891128013,0.024113191291689873,0.4345340132713318,True,0
1,4,0.3493576777331969,0.2836952120065689,0.43328720331192017,0.5221780456746362,0.03504965081810951,0.43328720331192017,True,0
1,5,0.34997527323224964,0.28214455395936966,0.43085208535194397,0.5240457047356956,0.05673983320593834,0.43085208535194397,True,0
1,6,0.34787052606835084,0.2825551927089691,0.4316979944705963,0.5232276211057003,0.04891815409064293,0.43085208535194397,False,1
1,7,0.34906137931872816,0.28304576575756074,0.4324930012226105,0.5225687076257839,0.04159586876630783,0.43085208535194397,False,2
1,8,0.34971736103077145,0.2823240622878075,0.43136322498321533,0.5234059281577942,0.05147555097937584,0.43085208535194397,False,3
1,9,0.34846415589837465,0.2826132744550705,0.4319053888320923,0.5229023717418291,0.046409592032432556,0.43085208535194397,False,4
1,10,0.34835851455436034,0.2821744799613953,0.4311741888523102,0.523466080981306,0.05274291709065437,0.43085208535194397,False,5
1,11,0.35078470863621025,0.28281288892030715,0.4322690963745117,0.5225319502156057,0.042738065123558044,0.43085208535194397,False,6
1,12,0.34806469039005394,0.2822961449623108,0.4314824938774109,0.5230924123551745,0.04955132678151131,0.43085208535194397,False,7
1,13,0.34840521654661966,0.28219160437583923,0.4313351809978485,0.5231644217017744,0.05064541846513748,0.43085208535194397,False,8
