fold,epoch,train_loss,val_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,improved,epochs_without_improvement
2,1,0.40419335580534405,0.7069169893860817,0.5657963752746582,0.7604874268796004,0.07214444130659103,0.5657963752746582,True,0
2,2,0.3897426165640354,0.698852290213108,0.5618230104446411,0.7629285155465989,0.0945710688829422,0.5618230104446411,True,0
2,3,0.37844301253143287,0.6934752047061921,0.558795154094696,0.7652235730408242,0.11165362596511841,0.558795154094696,True,0
2,4,0.39645350724458694,0.6916792511940002,0.5576949715614319,0.7661281411630471,0.11779177933931351,0.5576949715614319,True,0
2,5,0.40912025173505145,0.687260876595974,0.5547146797180176,0.7688905401394348,0.13462519645690918,0.5547146797180176,True,0
2,6,0.4076194819062948,0.6887831345200539,0.555801510810852,0.7678097285716335,0.12838482856750488,0.5547146797180176,False,1
2,7,0.3835373640888267,0.6930175065994263,0.558539867401123,0.7653541085710933,0.11281981319189072,0.5547146797180176,False,2
2,8,0.4157110026313199,0.6929240494966507,0.558487594127655,0.7653761868128904,0.1130460575222969,0.5547146797180176,False,3
2,9,0.3789254111211954,0.6966226369142532,0.5606341361999512,0.763679523868744,0.10090530663728714,0.5547146797180176,False,4
2,10,0.38155882329576546,0.6943203046917915,0.5593259930610657,0.7646694838159622,0.10823265463113785,0.5547146797180176,False,5
2,11,0.38052259385585785,0.6927477240562439,0.5583922266960144,0.7654091667039044,0.11343148350715637,0.5547146797180176,False,6
2,12,0.49205852092968094,0.6926431506872177,0.5583333373069763,0.7654405877811151,0.11370591819286346,0.5547146797180176,False,7
2,13,0.3809409344361888,0.6927695468068122,0.5584158301353455,0.7653525899384588,0.11317504197359085,0.5547146797180176,False,8
