fold,epoch,phase,train_loss,val_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,improved,epochs_without_improvement
1,1,head,0.3577722139957854,0.2819240325027042,0.44109876346590077,0.5222473159173897,-0.034564207535549625,0.44109876346590077,True,0
1,2,head,0.35159993779790755,0.27928924767507446,0.4364378125070549,0.5210974766141674,0.0069139476762219865,0.4364378125070549,True,0
1,3,head,0.3512163589407197,0.280451748934057,0.43062690776104795,0.524313887911102,0.05874984695131307,0.43062690776104795,True,0
1,4,head,0.3489889882724075,0.27943168580532074,0.4327351786278945,0.5225021742735196,0.039662851796265976,0.43062690776104795,False,1
1,5,head,0.34907367307802334,0.27927965712216163,0.4331210942820728,0.5222000957324854,0.03594921134238079,0.43062690776104795,False,2
1,6,head,0.34839244343011694,0.28028998523950577,0.43070010540427844,0.5240942862665735,0.05749042921595598,0.43062690776104795,False,3
1,7,head,0.34899762322140093,0.2797592509951856,0.43169917184366,0.5231852982645162,0.048496832811561905,0.43062690776104795,False,4
1,8,head,0.3485063589178026,0.27954555220074123,0.4321047430054563,0.5228047436212541,0.04463267018431817,0.43062690776104795,False,5
1,9,head,0.3494392198455684,0.28199618123471737,0.428796835039857,0.5266909355728581,0.07808343446119784,0.428796835039857,True,0
1,10,head,0.3467381151499199,0.2801876092950503,0.43068771259801913,0.5239610386402028,0.056974409807963394,0.428796835039857,False,1
1,11,finetune,0.3529833846122903,0.2793375539282958,0.4324722529658854,0.522437383656839,0.04085136679900356,0.428796835039857,False,2
1,12,finetune,0.34993472695350647,0.27904508966538644,0.4335474469111306,0.5217527443296304,0.03105932636583428,0.428796835039857,False,3
1,13,finetune,0.34788319747895,0.27972496218151516,0.431342913532162,0.523215547912869,0.050487079723353104,0.428796835039857,False,4
1,14,finetune,0.3512203595190145,0.2810056255095535,0.4292927050157505,0.5252779655166121,0.06876320145776063,0.428796835039857,False,5
1,15,finetune,0.3482647118062767,0.2798011133240329,0.4310872396295545,0.5233842892057028,0.05247543676106502,0.428796835039857,False,6
1,16,finetune,0.3477118504610296,0.2798014361825254,0.4309774377202329,0.5234069656993919,0.05308936210472232,0.428796835039857,False,7
1,17,finetune,0.34963004859095875,0.2807128992345598,0.42935219045196216,0.5249001133548409,0.06693532208710137,0.428796835039857,False,8
2,1,head,0.3991900031321815,0.7482614111569192,0.5684310836283412,0.7592158316531372,0.05725200082211111,0.5684310836283412,True,0
2,2,head,0.393394316679665,0.7396862440639072,0.5624269887760107,0.7625004502462528,0.09113212625848724,0.5624269887760107,True,0
2,3,head,0.39257151439253773,0.7357223224308755,0.5588206808689273,0.7651997297946206,0.11153117353496933,0.5588206808689273,True,0
2,4,head,0.41207956453519207,0.7354104121526083,0.5585221876862925,0.7653946812251208,0.11305855438750163,0.5585221876862925,True,0
2,5,head,0.3904707415694637,0.7366541396412585,0.5597798067549488,0.7643683466844445,0.10589759478881267,0.5585221876862925,False,1
2,6,head,0.3940702464431524,0.7348309113747544,0.5579383327262837,0.76584691380773,0.11622570038751426,0.5579383327262837,True,0
2,7,head,0.38973243181992856,0.7343673863344722,0.557460380792278,0.7662139111021837,0.11882326751242503,0.557460380792278,True,0
2,8,head,0.40870830484532883,0.733033629755179,0.5559137789707478,0.7675436350502419,0.12736619176402023,0.5559137789707478,True,0
2,9,head,0.3901453256873148,0.7314164179066817,0.5538925445836386,0.7696627591709352,0.1397107447387647,0.5538925445836386,True,0
2,10,head,0.39077082400077157,0.7309877847631773,0.5536538784704166,0.7703437172242298,0.14341801184354228,0.5536538784704166,True,0
2,11,finetune,0.4305563441610762,0.7313608262274001,0.5538461325444208,0.7694677715975748,0.13907604311237323,0.5536538784704166,False,1
2,12,finetune,0.38884013263242584,0.7334311033288637,0.556599524174409,0.7666921969385712,0.12289319263198832,0.5536538784704166,False,2
2,13,finetune,0.3916810245918376,0.7310472693708208,0.553661563913626,0.7697482662699047,0.14083731847781003,0.5536538784704166,False,3
2,14,finetune,0.3869178591029985,0.7334961311684715,0.5567822219737355,0.7663956105077157,0.12147788287996626,0.5536538784704166,False,4
2,15,finetune,0.3923776705882379,0.7336696005529828,0.557003643433732,0.7661524364489469,0.12008448879678521,0.5536538784704166,False,5
2,16,finetune,0.3871574929832215,0.7327764982150661,0.5559882490746642,0.7669011643603878,0.12521683617063376,0.5536538784704166,False,6
2,17,finetune,0.39548454797228,0.7324558579259448,0.5556403599819845,0.7672932249619397,0.1276184130025213,0.5536538784704166,False,7
2,18,finetune,0.3890203627957297,0.7318514842126105,0.5549399675309572,0.7677149008121881,0.13084840296650727,0.5536538784704166,False,8
3,1,head,0.35605933824554087,0.30341792091106373,0.39602168330091664,0.5267714828982273,-0.01562088213177861,0.39602168330091664,True,0
3,2,head,0.34896215804453407,0.2981856024513642,0.39294960598606926,0.5269311707243978,0.020820598860841786,0.39294960598606926,True,0
3,3,head,0.34811028513525216,0.2964345140175687,0.391794093522796,0.528025278176688,0.040054088628555536,0.391794093522796,True,0
3,4,head,0.3600801946329219,0.29638141869670814,0.3917380208888544,0.5280272532287152,0.040366767497482525,0.3917380208888544,True,0
3,5,head,0.34824955231909244,0.2972980999491281,0.39240030464126907,0.5272809144717754,0.029139841444497803,0.3917380208888544,False,1
3,6,head,0.34993482224111044,0.2960606589913368,0.39145411343856107,0.528369072796834,0.04478569509846566,0.39145411343856107,True,0
3,7,head,0.34626706447452305,0.29583876248863006,0.391228514504089,0.5286319473363482,0.048071980300777035,0.391228514504089,True,0
3,8,head,0.3779295632881778,0.29563808037588996,0.3910094666186038,0.5289464358121674,0.051452361396339144,0.3910094666186038,True,0
3,9,head,0.3470107328412788,0.2952020859552754,0.39039207272077536,0.5300033563273534,0.06156024492708996,0.39039207272077536,True,0
3,10,head,0.34417737994632003,0.29511265435980427,0.39022758820167847,0.5302520071176499,0.0637077672492234,0.39022758820167847,True,0
3,11,finetune,0.34749890214963153,0.29530991996741957,0.390592188920481,0.5294472879120655,0.05701659481401295,0.39022758820167847,False,1
3,12,finetune,0.347734737981643,0.2956686257902119,0.3910259947592521,0.5287697763396023,0.04994872760920376,0.39022758820167847,False,2
3,13,finetune,0.34731619566550115,0.2949429100586308,0.38985936198432936,0.5308660689102549,0.06879101936224492,0.38985936198432936,True,0
3,14,finetune,0.34362274621214184,0.2953933585021231,0.3906770595834063,0.5291806703742186,0.054417441022949785,0.38985936198432936,False,1
3,15,finetune,0.34716752393204453,0.2954730574662487,0.3907780891695828,0.528846681028736,0.05159894685669025,0.38985936198432936,False,2
3,16,finetune,0.34484480720545563,0.2948895426880982,0.3899213073596524,0.5299983797215434,0.06338641007219277,0.38985936198432936,False,3
3,17,finetune,0.35354771305407795,0.29555732135971385,0.39087891121787066,0.5285666389097397,0.04908070186754167,0.38985936198432936,False,4
3,18,finetune,0.34553773126431875,0.2952561720998751,0.39048115370889225,0.5292419604081712,0.05570937902732623,0.38985936198432936,False,5
3,19,finetune,0.3483593155762979,0.2950294477244218,0.3901677344534125,0.5295326066501507,0.0592518599023591,0.38985936198432936,False,6
3,20,finetune,0.3491262706262725,0.29486366806344855,0.3898152327910252,0.5301232713521178,0.06410187819526918,0.3898152327910252,True,0
3,21,finetune,0.34435552341331327,0.29531528138452107,0.39055442961752507,0.5287888846972484,0.05201384564788443,0.3898152327910252,False,1
3,22,finetune,0.34393518285027574,0.2951795658510592,0.3903709763336306,0.5289962166834934,0.054287669882396195,0.3898152327910252,False,2
3,23,finetune,0.3451508571260742,0.2951889510990845,0.39040955092974383,0.5288933778749937,0.053683371673590996,0.3898152327910252,False,3
3,24,finetune,0.3451859387968268,0.29516224345813197,0.39033744342358345,0.5290396845469243,0.05450043590571392,0.3898152327910252,False,4
3,25,finetune,0.3445617324938732,0.2950634660406245,0.39023795444348,0.5289158628020105,0.054562412261674534,0.3898152327910252,False,5
3,26,finetune,0.3425660999491811,0.2950357136627038,0.39017054319292016,0.5290351238532638,0.05560026213041621,0.3898152327910252,False,6
3,27,finetune,0.3450261717529169,0.295031791449421,0.3901332411359688,0.5288941757115471,0.054560803474876296,0.3898152327910252,False,7
3,28,finetune,0.34283294204090325,0.2951959848610891,0.3903203453064428,0.5287110786362379,0.051976926264647394,0.3898152327910252,False,8
4,1,head,0.370050963599767,0.28176970505673027,0.4392759952537156,0.5140832126208635,-0.08675736462261001,0.4392759952537156,True,0
4,2,head,0.34523141030222176,0.275780859325702,0.4280128547175257,0.5101570665925641,-0.05943384136476918,0.4280128547175257,True,0
4,3,head,0.34369660975145444,0.27452847327933544,0.4253508066562106,0.5094030940770489,-0.05305739564901798,0.4253508066562106,True,0
4,4,head,0.3510368938956942,0.27139534132503385,0.41889803807810844,0.507772261882909,-0.03447868034242957,0.41889803807810844,True,0
4,5,head,0.3452134748122522,0.27598983618534273,0.4286304614869199,0.510252997023702,-0.06105532777774975,0.41889803807810844,False,1
4,6,head,0.3415563226193106,0.27261855255346745,0.42127244446304596,0.5083323991241352,-0.042666340947121816,0.41889803807810844,False,2
4,7,head,0.3410756615655763,0.2702666568285268,0.41674390767936814,0.5072287416601927,-0.027361400213455834,0.41674390767936814,True,0
4,8,head,0.3491542299943311,0.26989761928820777,0.41604328008515556,0.5070637136391802,-0.02505557775717039,0.41604328008515556,True,0
4,9,head,0.34253530321376663,0.269214966851804,0.41449615404642326,0.5068140602816568,-0.01984108075894894,0.41449615404642326,True,0
4,10,head,0.34039100369388636,0.26939275411293945,0.41500157009757227,0.5068467531388391,-0.021595738693214656,0.41449615404642326,False,1
4,11,finetune,0.35349474996328356,0.2692358639259409,0.41480976538899367,0.5067265571223266,-0.02118347529671513,0.41449615404642326,False,2
4,12,finetune,0.3428647294108357,0.2712996463006776,0.4192715156070245,0.5075212669556797,-0.036518420913547886,0.41449615404642326,False,3
4,13,finetune,0.3440599507253085,0.26842381906721535,0.4130668765177584,0.5063784219339138,-0.015570031040942515,0.4130668765177584,True,0
4,14,finetune,0.33975735655320544,0.27129267465271467,0.41933164014362834,0.507506308253624,-0.03681671491722282,0.4130668765177584,False,1
4,15,finetune,0.34027249170537416,0.2707123711200741,0.4183427575435247,0.5071767153919989,-0.03366899984556251,0.4130668765177584,False,2
