train_size,train_loss_log_mse,val_loss_log_mse,train_mae_log,val_mae_log,train_mae_phys,val_mae_phys
10,4.4140420249783496e-08,0.03878845647023567,0.0001597802899541545,0.14642518374681052,0.000555417701083245,0.5037404045748571
21,1.3575962416923547e-07,0.036367660472025,0.00027422696042328027,0.15021780875417395,0.0009273971706644431,0.5128911707721555
32,1.893086227428e-07,0.03294015850907421,0.0003238687483850124,0.13991563283547145,0.0010929944640439254,0.47921675411219733
43,2.2398858667877175e-07,0.03056757717481391,0.00035242020424836273,0.1308322665025597,0.0011898450769318818,0.4436214786253233
54,2.725564018653106e-07,0.02874731616065036,0.0003931501190912711,0.13216625341241048,0.001326214817561503,0.445221461562147
