train_size,train_loss_log_mse,val_loss_log_mse,train_mae_log,val_mae_log,train_mae_phys,val_mae_phys
10,1.4446015326859777e-31,0.03881669701155317,2.5757174171303635e-16,0.14649134734540364,9.237055564881303e-16,0.5039751937325215
21,3.448918660028769e-31,0.03639713942233351,3.6373020997243223e-16,0.15028943592494567,1.3068911032730413e-15,0.5131290273899333
32,1.2865212028506735e-31,0.03295874255086966,2.6506574712925614e-16,0.13998012715592895,8.965050923848138e-16,0.47944947979242086
43,9.700237293851395e-32,0.030581625159076482,2.3960162019817334e-16,0.13092365003398157,8.530643891538413e-16,0.44394618048645906
54,1.42204960634459e-31,0.02876017552572969,2.956482795205509e-16,0.13223722432782398,1.0427872557219989e-15,0.44545582562002395
