train_size,train_loss_log_mse,val_loss_log_mse,train_mae_log,val_mae_log,train_mae_phys,val_mae_phys
10,0.0011017945653082378,0.038003300657954917,0.013789846786317315,0.14419132297851525,0.047293375915742,0.49610870740304935
21,0.0044533274148948485,0.034080538469642076,0.04875264224139661,0.1458604743617659,0.16770433659371659,0.49947963107889104
32,0.004582079860497498,0.034237608739348585,0.048124344754304396,0.14044347228161624,0.16799521028910178,0.48269274745783636
43,0.004961131961485041,0.0327608023039835,0.050600926412617195,0.13181924852559165,0.17547785642390293,0.44902212296632255
54,0.005292779721049399,0.031393941934446945,0.05241174717759162,0.13636108236958427,0.1807863953401137,0.4619566476488884
