fold,baseline,train_rows,val_rows,train_mean_log,train_std_log,val_mae_log,val_rmse_log,bias_log,val_mae_phys,val_rmse_phys,bias_phys
1,train_mean_log,68,18,1.238716394879256,0.199684956503071,0.131363220753162,0.16447800957957193,-0.0034614283518789777,0.4434697217835398,0.52409439979701,-0.05580761698912013
2,train_mean_log,69,17,1.2483096000314406,0.16088770891857795,0.18676552609245298,0.2874908393773263,0.04486529016200382,0.5716556587414157,0.7580831922743071,0.03906171130965071
3,train_mean_log,69,17,1.239197190978491,0.19787911670119349,0.12139620804710795,0.17078708562264142,-0.0012327791646835357,0.40220683963755777,0.5289690790909636,-0.050670023785829105
4,train_mean_log,69,17,1.2338757365559598,0.2011106811108622,0.13362678272970915,0.15545790250704883,-0.028153078008076073,0.46020268665348885,0.525075501070864,-0.13750875990968747
5,train_mean_log,69,17,1.2370949771878756,0.20223971003863206,0.1281063475962002,0.14905283159966995,-0.01186750775250173,0.43968579190996016,0.5039607687889377,-0.07850504183359973
