video_id,true_phys,final_pred_phys,final_abs_err,ept_pct,ept_found
250617\p15.5_v1000_z4,3.9636734,3.9981275,0.034454107,87.09677419354838,True
250617\p16_v1000_z4,3.9765987,3.4966831,0.47991562,100.0,False
250617\p18_v1000_z5,4.1057143,3.8873644,0.21834993,100.0,False
250624\12,3.6504762,3.588096,0.062380314,90.32258064516128,True
250624\5,2.0721087,3.33771,1.2656012,100.0,False
"250624\6,5",2.6682143,3.1824462,0.5142319,100.0,False
"250627\10,5",3.4391837,3.1894486,0.24973512,100.0,False
250627\10,3.4113605,3.5520406,0.14068007,54.83870967741935,True
250627\13,3.7229285,3.736517,0.0135884285,58.064516129032256,True
"250710\11,5",3.4954422,3.3917012,0.10374093,93.54838709677419,True
250710\11,3.442041,3.3203895,0.12165141,100.0,True
250710\13,3.6877856,3.2639031,0.42388248,100.0,False
250710\8,2.9495919,2.9567266,0.007134676,6.451612903225806,True
"250710\9,5",3.1993198,3.3497431,0.15042329,54.83870967741935,True
"250715\13,5",3.7606802,3.8343594,0.07367921,90.32258064516128,True
"250715\14,5",3.8136055,3.8857498,0.07214427,38.70967741935483,True
250715\20,4.2009525,3.9346273,0.26632524,100.0,False
