fold,best_epoch,best_val_mae_phys,best_val_rmse_phys,num_train_rows,num_val
1,15,0.14569900929927826,0.19173974547886452,122,18
2,20,0.2432679533958435,0.3072110113341683,128,17
3,41,0.2469363510608673,0.38662005619720197,129,17
4,6,0.33621641993522644,0.3992495769386224,130,17
5,41,0.17613227665424347,0.21617119517769193,127,17
