fold,epoch,train_loss,final_mae_phys,final_rmse_phys,final_bias_phys,mean_ept_pct,pct_videos_ept_found,ept_threshold_um,n_videos,n_frames,best_val_mae_phys_so_far,improved,epochs_without_improvement
1,1,0.20727786202641094,0.3146189749240875,0.42219448354890315,0.15221495926380157,87.09677419354838,38.88888888888889,0.2,18,32,0.3146189749240875,True,0
1,2,0.20588792290757685,0.31123271584510803,0.3949273453360952,0.03367246687412262,89.60573476702508,33.33333333333333,0.2,18,32,0.31123271584510803,True,0
1,3,0.19393556521219366,0.462082177400589,0.5443561858157099,-0.38087737560272217,82.97491039426524,27.77777777777778,0.2,18,32,0.31123271584510803,False,1
1,4,0.21066417188986258,0.367811381816864,0.4629638710498734,0.268489271402359,93.18996415770609,22.22222222222222,0.2,18,32,0.31123271584510803,False,2
1,5,0.17095078500535557,0.37359321117401123,0.4727760982682823,0.29576894640922546,92.65232974910393,27.77777777777778,0.2,18,32,0.31123271584510803,False,3
1,6,0.133876878877773,0.31073707342147827,0.396162118221765,0.05444478988647461,86.20071684587815,33.33333333333333,0.2,18,32,0.31073707342147827,True,0
1,7,0.21690077488036716,0.3423854410648346,0.46610580748443137,0.3219502866268158,85.48387096774194,38.88888888888889,0.2,18,32,0.31073707342147827,False,1
1,8,0.18405012600123882,0.32568228244781494,0.3677147873734425,-0.05292525514960289,94.26523297491039,22.22222222222222,0.2,18,32,0.31073707342147827,False,2
1,9,0.09220585424233885,0.3024529814720154,0.3963525863128048,0.1998249590396881,80.82437275985663,44.44444444444444,0.2,18,32,0.3024529814720154,True,0
1,10,0.06949811680790256,0.39992555975914,0.5123059929014118,0.3812114894390106,84.76702508960574,33.33333333333333,0.2,18,32,0.3024529814720154,False,1
1,11,0.09525337661890422,0.2649165689945221,0.32127549626890395,0.07825037091970444,83.69175627240143,38.88888888888889,0.2,18,32,0.2649165689945221,True,0
1,12,0.11868734219494988,0.3282316029071808,0.38689122062783,0.0824296772480011,93.36917562724014,33.33333333333333,0.2,18,32,0.2649165689945221,False,1
1,13,0.10628972980467712,0.2928687334060669,0.39843576094303956,0.2686934769153595,89.24731182795698,55.55555555555556,0.2,18,32,0.2649165689945221,False,2
1,14,0.11057516516131513,0.26277872920036316,0.32436361868044067,0.08585626631975174,82.97491039426524,38.88888888888889,0.2,18,32,0.26277872920036316,True,0
1,15,0.11435716577312525,0.17619766294956207,0.20863130638551708,0.02264997735619545,85.48387096774192,55.55555555555556,0.2,18,32,0.17619766294956207,True,0
1,16,0.11463301749352146,0.17094214260578156,0.2148230455999304,-0.0002490149636287242,75.62724014336918,61.111111111111114,0.2,18,32,0.17094214260578156,True,0
1,17,0.057783050791305655,0.3550277352333069,0.40970755966624534,0.3550277352333069,93.72759856630825,33.33333333333333,0.2,18,32,0.17094214260578156,False,1
1,18,0.06632078438997269,0.16063477098941803,0.18805988483886293,0.02779538184404373,77.06093189964157,66.66666666666666,0.2,18,32,0.16063477098941803,True,0
1,19,0.13993017846608863,0.21174390614032745,0.25692034012623055,0.037660256028175354,82.43727598566308,44.44444444444444,0.2,18,32,0.16063477098941803,False,1
1,20,0.06351067881812067,0.2274799942970276,0.3037002414402208,0.20835824310779572,85.12544802867382,50.0,0.2,18,32,0.16063477098941803,False,2
1,21,0.06217182964524802,0.2491111159324646,0.3144516322888314,0.10350057482719421,76.16487455197132,50.0,0.2,18,32,0.16063477098941803,False,3
1,22,0.0535666769480004,0.19357985258102417,0.2652330451898287,0.1075887680053711,70.60931899641577,66.66666666666666,0.2,18,32,0.16063477098941803,False,4
1,23,0.0660628217875081,0.20258933305740356,0.25546516742585756,0.07558585703372955,79.03225806451613,66.66666666666666,0.2,18,32,0.16063477098941803,False,5
1,24,0.0409834544886561,0.20471853017807007,0.2716004926050632,0.10058685392141342,62.18637992831542,66.66666666666666,0.2,18,32,0.16063477098941803,False,6
1,25,0.050948596230762845,0.14317075908184052,0.18623537518219663,0.015658564865589142,80.64516129032256,77.77777777777779,0.2,18,32,0.14317075908184052,True,0
1,26,0.03875007573515177,0.18289273977279663,0.24272948041289955,0.06409700959920883,78.49462365591398,66.66666666666666,0.2,18,32,0.14317075908184052,False,1
1,27,0.043184009873691726,0.1988876610994339,0.2707570714440978,0.0679173469543457,80.28673835125447,61.111111111111114,0.2,18,32,0.14317075908184052,False,2
1,28,0.06074979830094997,0.23126228153705597,0.30794419361533226,0.12980826199054718,69.71326164874552,50.0,0.2,18,32,0.14317075908184052,False,3
1,29,0.04038818180561066,0.21210753917694092,0.2638558770049141,0.07045776396989822,77.95698924731181,72.22222222222221,0.2,18,32,0.14317075908184052,False,4
1,30,0.029133918640368125,0.22769194841384888,0.2917756773821097,0.10383812338113785,71.14695340501791,55.55555555555556,0.2,18,32,0.14317075908184052,False,5
1,31,0.0402115096392877,0.19777055084705353,0.26718015381825255,0.14976269006729126,82.25806451612901,61.111111111111114,0.2,18,32,0.14317075908184052,False,6
1,32,0.032870528151226396,0.21310466527938843,0.2587161555247103,0.032033152878284454,81.18279569892474,55.55555555555556,0.2,18,32,0.14317075908184052,False,7
1,33,0.018611165831851607,0.20271842181682587,0.23863385642218785,-0.0010779433650895953,70.25089605734767,50.0,0.2,18,32,0.14317075908184052,False,8
1,34,0.022887383341131842,0.2016189992427826,0.2693314018725157,0.037308018654584885,73.83512544802868,61.111111111111114,0.2,18,32,0.14317075908184052,False,9
1,35,0.021221957580350777,0.19651749730110168,0.25786007817837114,0.03645345941185951,64.33691756272401,55.55555555555556,0.2,18,32,0.14317075908184052,False,10
2,1,0.086790279350311,0.5151893496513367,0.7741967530113725,0.2764117121696472,75.71157495256166,29.411764705882355,0.2,17,32,0.5151893496513367,True,0
2,2,0.08077630193472124,0.47498658299446106,0.738899617866152,0.28779539465904236,76.280834914611,41.17647058823529,0.2,17,32,0.47498658299446106,True,0
2,3,0.07406502439087068,0.5438184142112732,0.8263008612186801,0.48396435379981995,71.15749525616698,35.294117647058826,0.2,17,32,0.47498658299446106,False,1
2,4,0.04960657393667793,0.47300687432289124,0.724823089916973,0.25536641478538513,74.76280834914611,35.294117647058826,0.2,17,32,0.47300687432289124,True,0
2,5,0.04778600840464882,0.4927908480167389,0.7574976630851529,0.30176207423210144,62.99810246679317,47.05882352941176,0.2,17,32,0.47300687432289124,False,1
2,6,0.07593015593517086,0.472825288772583,0.7187494609664886,0.19877241551876068,81.78368121442125,35.294117647058826,0.2,17,32,0.472825288772583,True,0
2,7,0.05561180243039153,0.465791255235672,0.7048098193665072,0.17663952708244324,79.12713472485768,35.294117647058826,0.2,17,32,0.465791255235672,True,0
2,8,0.053314736153444515,0.47821134328842163,0.7624605137340963,0.3311717212200165,63.5673624288425,52.94117647058824,0.2,17,32,0.465791255235672,False,1
2,9,0.051624807211961866,0.45089659094810486,0.7197447403122323,0.23096375167369843,89.18406072106262,35.294117647058826,0.2,17,32,0.45089659094810486,True,0
2,10,0.05517704531793361,0.46509501338005066,0.726576692175948,0.29248085618019104,79.5066413662239,41.17647058823529,0.2,17,32,0.45089659094810486,False,1
2,11,0.04114333898557917,0.4501160979270935,0.6993406391992533,0.24947620928287506,85.38899430740038,35.294117647058826,0.2,17,32,0.4501160979270935,True,0
2,12,0.04535682730214751,0.44129103422164917,0.5872814279155211,-0.01220784429460764,86.52751423149905,29.411764705882355,0.2,17,32,0.44129103422164917,True,0
2,13,0.031943925507906555,0.3623533248901367,0.577332030139947,0.1298973560333252,78.17836812144212,47.05882352941176,0.2,17,32,0.3623533248901367,True,0
2,14,0.03871564895751468,0.3256557583808899,0.46081334397810275,0.04376804083585739,78.93738140417456,47.05882352941176,0.2,17,32,0.3256557583808899,True,0
2,15,0.03655767103360183,0.4085348844528198,0.640302972569105,0.18719980120658875,79.5066413662239,41.17647058823529,0.2,17,32,0.3256557583808899,False,1
2,16,0.02440242335011346,0.3477730453014374,0.53386392972129,0.14189456403255463,89.18406072106261,35.294117647058826,0.2,17,32,0.3256557583808899,False,2
2,17,0.024488122917819714,0.28033384680747986,0.4275641429196508,0.09241513907909393,88.8045540796964,52.94117647058824,0.2,17,32,0.28033384680747986,True,0
2,18,0.029807535998955154,0.361039400100708,0.5552638109079139,0.18347524106502533,74.95256166982922,52.94117647058824,0.2,17,32,0.28033384680747986,False,1
2,19,0.02103815611411372,0.2554283142089844,0.34829057195825847,-0.029555074870586395,83.30170777988616,58.82352941176471,0.2,17,32,0.2554283142089844,True,0
2,20,0.019952235841259793,0.322528213262558,0.5008980613313804,0.1613258570432663,73.81404174573055,58.82352941176471,0.2,17,32,0.2554283142089844,False,1
2,21,0.02343676668132885,0.2881203293800354,0.40746002457547253,0.0641551986336708,77.41935483870967,52.94117647058824,0.2,17,32,0.2554283142089844,False,2
2,22,0.014335118352260062,0.2831083834171295,0.44165583955641374,0.13321276009082794,63.75711574952561,58.82352941176471,0.2,17,32,0.2554283142089844,False,3
2,23,0.01982152380346172,0.2678799629211426,0.4204395385824326,0.12668360769748688,70.77798861480076,58.82352941176471,0.2,17,32,0.2554283142089844,False,4
2,24,0.014959284566693765,0.32531026005744934,0.5097177417233675,0.1414049118757248,71.3472485768501,52.94117647058824,0.2,17,32,0.2554283142089844,False,5
2,25,0.016067169448090852,0.28606751561164856,0.434980768677493,0.13571584224700928,72.86527514231499,58.82352941176471,0.2,17,32,0.2554283142089844,False,6
2,26,0.01001287113868402,0.27403131127357483,0.4067412487347669,0.0896546021103859,64.51612903225806,52.94117647058824,0.2,17,32,0.2554283142089844,False,7
2,27,0.015327709838343055,0.28562337160110474,0.43569134766583334,0.04258246347308159,74.00379506641366,64.70588235294117,0.2,17,32,0.2554283142089844,False,8
2,28,0.018416203939747335,0.3042358458042145,0.4863122684697354,0.14858606457710266,70.96774193548387,58.82352941176471,0.2,17,32,0.2554283142089844,False,9
2,29,0.012892389993952669,0.26265156269073486,0.39752738453446335,0.13703157007694244,63.5673624288425,58.82352941176471,0.2,17,32,0.2554283142089844,False,10
3,1,0.06930761666550045,0.384004145860672,0.6009996431448031,0.32646679878234863,72.67552182163188,41.17647058823529,0.2,17,32,0.384004145860672,True,0
3,2,0.050460519039652485,0.3525403141975403,0.5620271231547783,0.2368067055940628,68.50094876660341,52.94117647058824,0.2,17,32,0.3525403141975403,True,0
3,3,0.055239830317947526,0.38087934255599976,0.5621918523003988,0.2474345564842224,71.15749525616697,35.294117647058826,0.2,17,32,0.3525403141975403,False,1
3,4,0.05300631640020056,0.34790489077568054,0.533167911247064,0.14563961327075958,53.889943074003796,47.05882352941176,0.2,17,32,0.34790489077568054,True,0
3,5,0.0634773054862044,0.3550598919391632,0.5860601423976262,0.23028844594955444,78.93738140417457,58.82352941176471,0.2,17,32,0.34790489077568054,False,1
3,6,0.06370953330095264,0.3829118013381958,0.5667082146064195,0.052882108837366104,86.33776091081594,41.17647058823529,0.2,17,32,0.34790489077568054,False,2
3,7,0.04458179291459206,0.3458002209663391,0.5622544282405527,0.24192558228969574,66.22390891840607,58.82352941176471,0.2,17,32,0.3458002209663391,True,0
3,8,0.043024794333546924,0.3635731041431427,0.5424964826882952,0.16927018761634827,82.54269449715369,47.05882352941176,0.2,17,32,0.3458002209663391,False,1
3,9,0.04562009680692269,0.37494096159935,0.6373439364048413,0.30959826707839966,67.17267552182163,47.05882352941176,0.2,17,32,0.3458002209663391,False,2
3,10,0.02642293609138848,0.3321908414363861,0.511562789562705,0.07972893863916397,82.92220113851991,41.17647058823529,0.2,17,32,0.3321908414363861,True,0
3,11,0.033174181421138885,0.35422858595848083,0.5221781883573791,0.08879122883081436,79.12713472485768,41.17647058823529,0.2,17,32,0.3321908414363861,False,1
3,12,0.02826919667827694,0.3607056438922882,0.5058713049936294,0.02933255396783352,90.5123339658444,35.294117647058826,0.2,17,32,0.3321908414363861,False,2
3,13,0.05901305893085141,0.3458399772644043,0.5509310579491281,0.18205831944942474,77.98861480075901,52.94117647058824,0.2,17,32,0.3321908414363861,False,3
3,14,0.023579103689964697,0.3733426630496979,0.5812468138986859,0.30237674713134766,85.38899430740037,47.05882352941176,0.2,17,32,0.3321908414363861,False,4
3,15,0.02555484905420546,0.33225083351135254,0.5743379534042754,0.2869984209537506,81.40417457305502,52.94117647058824,0.2,17,32,0.3321908414363861,False,5
3,16,0.030816093866672854,0.33942127227783203,0.5513538873833816,0.12038618326187134,81.59392789373814,47.05882352941176,0.2,17,32,0.3321908414363861,False,6
3,17,0.01443118873335745,0.3454774022102356,0.5953493161969732,0.19949162006378174,64.70588235294117,58.82352941176471,0.2,17,32,0.3321908414363861,False,7
3,18,0.03115162534126337,0.30513763427734375,0.5264494766146521,0.23227573931217194,81.97343453510435,52.94117647058824,0.2,17,32,0.30513763427734375,True,0
3,19,0.02585088928817245,0.33491936326026917,0.4584185744983662,0.053363170474767685,88.04554079696395,29.411764705882355,0.2,17,32,0.30513763427734375,False,1
3,20,0.009791551127462932,0.30345258116722107,0.5229357406916704,0.19108767807483673,65.08538899430741,64.70588235294117,0.2,17,32,0.30345258116722107,True,0
3,21,0.03236655081770774,0.3196313977241516,0.5008841089077747,0.07610160112380981,74.57305502846299,52.94117647058824,0.2,17,32,0.30345258116722107,False,1
3,22,0.012787261856314928,0.30570894479751587,0.5151494463030774,0.1669354885816574,71.72675521821633,47.05882352941176,0.2,17,32,0.30345258116722107,False,2
3,23,0.017152922150368493,0.31671589612960815,0.5673545003054759,0.23219823837280273,57.68500948766603,58.82352941176471,0.2,17,32,0.30345258116722107,False,3
3,24,0.01667657628338244,0.3062589168548584,0.5285511182552175,0.1198040172457695,68.3111954459203,58.82352941176471,0.2,17,32,0.30345258116722107,False,4
3,25,0.01007391482024737,0.3039695918560028,0.48430542292330386,0.126742422580719,76.09108159392788,58.82352941176471,0.2,17,32,0.30345258116722107,False,5
3,26,0.010639405033240715,0.2928789258003235,0.45751852159582096,0.04836469516158104,73.43453510436433,58.82352941176471,0.2,17,32,0.2928789258003235,True,0
3,27,0.015789722139690664,0.2932269275188446,0.5157046401046829,0.2204160839319229,73.0550284629981,58.82352941176471,0.2,17,32,0.2928789258003235,False,1
3,28,0.022321879118006083,0.279716432094574,0.48309199320372975,0.06490941345691681,66.03415559772296,58.82352941176471,0.2,17,32,0.279716432094574,True,0
3,29,0.011161321031766525,0.28143784403800964,0.48381360653591915,0.09027960896492004,61.10056925996205,52.94117647058824,0.2,17,32,0.279716432094574,False,1
3,30,0.009652735989378847,0.27707555890083313,0.46494880258549776,0.07618800550699234,78.36812144212524,52.94117647058824,0.2,17,32,0.27707555890083313,True,0
3,31,0.016759334376716204,0.3083864450454712,0.5021408857966957,0.1254619061946869,69.07020872865274,52.94117647058824,0.2,17,32,0.27707555890083313,False,1
