fold,epoch,train_loss,val_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,improved,epochs_without_improvement
1,1,0.358260518487762,0.2948643535375595,0.4412159323692322,0.5223178275360317,-0.03559557721018791,0.4412159323692322,True,0
1,2,0.3518679992241018,0.2880389839410782,0.43721577525138855,0.5210718816603772,0.00019012557459063828,0.43721577525138855,True,0
1,3,0.3494847241569968,0.2848331302404404,0.4345340132713318,0.5215984891128013,0.024113191291689873,0.4345340132713318,True,0
1,4,0.3493576777331969,0.2836952120065689,0.43328720331192017,0.5221780456746362,0.03504965081810951,0.43328720331192017,True,0
1,5,0.34997527323224964,0.28214455395936966,0.43085208535194397,0.5240457047356956,0.05673983320593834,0.43085208535194397,True,0
1,6,0.34787052606835084,0.2825551927089691,0.4316979944705963,0.5232276211057003,0.04891815409064293,0.43085208535194397,False,1
1,7,0.34906137931872816,0.28304576575756074,0.4324930012226105,0.5225687076257839,0.04159586876630783,0.43085208535194397,False,2
1,8,0.34971736103077145,0.2823240622878075,0.43136322498321533,0.5234059281577942,0.05147555097937584,0.43085208535194397,False,3
1,9,0.34846415589837465,0.2826132744550705,0.4319053888320923,0.5229023717418291,0.046409592032432556,0.43085208535194397,False,4
1,10,0.34835851455436034,0.2821744799613953,0.4311741888523102,0.523466080981306,0.05274291709065437,0.43085208535194397,False,5
1,11,0.35078470863621025,0.28281288892030715,0.4322690963745117,0.5225319502156057,0.042738065123558044,0.43085208535194397,False,6
1,12,0.34806469039005394,0.2822961449623108,0.4314824938774109,0.5230924123551745,0.04955132678151131,0.43085208535194397,False,7
1,13,0.34840521654661966,0.28219160437583923,0.4313351809978485,0.5231644217017744,0.05064541846513748,0.43085208535194397,False,8
2,1,0.40419335580534405,0.7069169893860817,0.5657963752746582,0.7604874268796004,0.07214444130659103,0.5657963752746582,True,0
2,2,0.3897426165640354,0.698852290213108,0.5618230104446411,0.7629285155465989,0.0945710688829422,0.5618230104446411,True,0
2,3,0.37844301253143287,0.6934752047061921,0.558795154094696,0.7652235730408242,0.11165362596511841,0.558795154094696,True,0
2,4,0.39645350724458694,0.6916792511940002,0.5576949715614319,0.7661281411630471,0.11779177933931351,0.5576949715614319,True,0
2,5,0.40912025173505145,0.687260876595974,0.5547146797180176,0.7688905401394348,0.13462519645690918,0.5547146797180176,True,0
2,6,0.4076194819062948,0.6887831345200539,0.555801510810852,0.7678097285716335,0.12838482856750488,0.5547146797180176,False,1
2,7,0.3835373640888267,0.6930175065994263,0.558539867401123,0.7653541085710933,0.11281981319189072,0.5547146797180176,False,2
2,8,0.4157110026313199,0.6929240494966507,0.558487594127655,0.7653761868128904,0.1130460575222969,0.5547146797180176,False,3
2,9,0.3789254111211954,0.6966226369142532,0.5606341361999512,0.763679523868744,0.10090530663728714,0.5547146797180176,False,4
2,10,0.38155882329576546,0.6943203046917915,0.5593259930610657,0.7646694838159622,0.10823265463113785,0.5547146797180176,False,5
2,11,0.38052259385585785,0.6927477240562439,0.5583922266960144,0.7654091667039044,0.11343148350715637,0.5547146797180176,False,6
2,12,0.49205852092968094,0.6926431506872177,0.5583333373069763,0.7654405877811151,0.11370591819286346,0.5547146797180176,False,7
2,13,0.3809409344361888,0.6927695468068122,0.5584158301353455,0.7653525899384588,0.11317504197359085,0.5547146797180176,False,8
3,1,0.36707186243600315,0.3124142028391361,0.3939492702484131,0.5265223569878011,0.003936094231903553,0.3939492702484131,True,0
3,2,0.36800941245423424,0.3107924465090036,0.393558531999588,0.5265908977876588,0.01023641787469387,0.393558531999588,True,0
3,3,0.34442005430658656,0.31132775768637655,0.39366796612739563,0.5265303378371495,0.007961567491292953,0.393558531999588,False,1
3,4,0.35407278645369744,0.30781597681343553,0.3927842974662781,0.5269393783371162,0.02266373299062252,0.3927842974662781,True,0
3,5,0.33762120817684466,0.30599369294941425,0.39227110147476196,0.5273467452352727,0.03100622445344925,0.39227110147476196,True,0
3,6,0.35751325575013954,0.30544786974787713,0.3921019434928894,0.5274853269063958,0.033541593700647354,0.3921019434928894,True,0
3,7,0.34473134991195464,0.30230829007923604,0.3910931348800659,0.5287972375948368,0.05031812936067581,0.3910931348800659,True,0
3,8,0.3525428432557318,0.3029378350824118,0.3912961483001709,0.5284389849099942,0.04656817018985748,0.3910931348800659,False,1
3,9,0.33964301004177994,0.3017116548493505,0.39085495471954346,0.5290817442907321,0.053596172481775284,0.39085495471954346,True,0
3,10,0.4056479223072529,0.2993077740073204,0.38988202810287476,0.5308974723254208,0.06950082629919052,0.38988202810287476,True,0
3,11,0.34212005883455276,0.30202895663678647,0.3909371495246887,0.5288143985390946,0.05133404582738876,0.38988202810287476,False,1
3,12,0.354478631582525,0.30232584066689017,0.39102599024772644,0.5286092761198263,0.04940047115087509,0.38988202810287476,False,2
3,13,0.3365246599747075,0.30254083648324015,0.3910902738571167,0.5284670416246229,0.04800852760672569,0.38988202810287476,False,3
3,14,0.3351044559256277,0.30350120067596437,0.39139771461486816,0.5279908060534121,0.04256764426827431,0.38988202810287476,False,4
3,15,0.3394550879796346,0.30299400761723516,0.391221284866333,0.5281937706768857,0.04521849751472473,0.38988202810287476,False,5
3,16,0.35864116955134606,0.302303247526288,0.3909717798233032,0.5284999182510673,0.04893314093351364,0.38988202810287476,False,6
3,17,0.33470089226547217,0.30299905948340894,0.3911918103694916,0.5281182147611576,0.04482318460941315,0.38988202810287476,False,7
3,18,0.3359695821483102,0.30123350918293,0.39056041836738586,0.5290400314742425,0.05491865426301956,0.38988202810287476,False,8
4,1,0.3443409945401881,0.2962575972080231,0.445311039686203,0.5167805121982224,-0.10134458541870117,0.445311039686203,True,0
4,2,0.3409388442006376,0.29189489781856537,0.4403192102909088,0.5145319710965958,-0.08922962844371796,0.4403192102909088,True,0
4,3,0.3331875519361347,0.28335456252098085,0.4294365644454956,0.5106065325625053,-0.06280767172574997,0.4294365644454956,True,0
4,4,0.35155820111847585,0.2783618599176407,0.4221777617931366,0.5087320658266613,-0.045187681913375854,0.4221777617931366,True,0
4,5,0.3327609297508995,0.27936179637908937,0.42372632026672363,0.5090739501452232,-0.048954445868730545,0.4221777617931366,False,1
4,6,0.3381842714216974,0.27720613181591036,0.4208894670009613,0.5083577969662749,-0.04092104360461235,0.4208894670009613,True,0
4,7,0.332191209001596,0.2789836168289185,0.42320337891578674,0.5089413932867808,-0.04769628122448921,0.4208894670009613,False,1
4,8,0.33369386196136475,0.27595503330230714,0.4194861650466919,0.5079796442643078,-0.03614337369799614,0.4194861650466919,True,0
4,9,0.34946708505352336,0.2741290658712387,0.4172973036766052,0.5074957226352179,-0.02869744785130024,0.4172973036766052,True,0
4,10,0.3390574918852912,0.2783741444349289,0.42233437299728394,0.5087316264647075,-0.04560484737157822,0.4172973036766052,False,1
4,11,0.3370533535877864,0.27740357220172884,0.4212111532688141,0.5084137511612393,-0.04199504852294922,0.4172973036766052,False,2
4,12,0.33040998585056514,0.27659877836704255,0.4203196167945862,0.5081633896067795,-0.03895734250545502,0.4172973036766052,False,3
4,13,0.33513991720974445,0.27469462156295776,0.4180835783481598,0.5076273360491002,-0.03135567530989647,0.4172973036766052,False,4
4,14,0.33690694471200305,0.2721016228199005,0.41480395197868347,0.5070524543360496,-0.02018994465470314,0.41480395197868347,True,0
4,15,0.36787256018982994,0.2732382446527481,0.4163077175617218,0.5072748125267424,-0.025302521884441376,0.41480395197868347,False,1
4,16,0.33660543544424903,0.27583921551704405,0.41951605677604675,0.5079323260444065,-0.036210957914590836,0.41480395197868347,False,2
4,17,0.3390101453082429,0.27620636224746703,0.41996312141418457,0.5080376346081589,-0.03772352635860443,0.41480395197868347,False,3
4,18,0.3316614825485481,0.2736352503299713,0.41687914729118347,0.5073549410023671,-0.02723580226302147,0.41480395197868347,False,4
4,19,0.3430839363071654,0.2711566507816315,0.4136398136615753,0.5068709521243723,-0.01621372625231743,0.4136398136615753,True,0
4,20,0.33392151610718834,0.275812628865242,0.4195670485496521,0.5079174226792269,-0.03636191785335541,0.4136398136615753,False,1
